,eng,jp
14057,why didn't you pick up your heel?,どうして ヒールを拾わなかったの?
14058,what are they up to?,そして、彼らは、何を望みますか?
14059,it fights me for control.,制御が難しくてね
14060,"you know, the longer we stand here talking, the further distance this kid tommy is gonna put between us and our money.",立ち話してる間にも トミーと金が遠くに行っちまう
14061,it's your mission now.,今はお前の任務だ. . 行け!
14062,this leads to the final what.,最後の「なにを」に繋がるな
14063,"now, mr leamas.",さて ミスター・リーマス
14064,do you have a boyfriend?,ゆかりは 好きな男 いないの?
14065,that's the moment my innovation journey began.,そうして私のイノベーションへの旅が 始まりました
14066,i'm still alive!,生きてるの
14067,since auntie talked with me about marriage,叔母に結婚の話を すすめられた時から ずっと
14068,let's look for mr. hinohara. wrong?,檜原さんを探しにいこう。 えっ どうして?
14069,what is true?,じゃ真実は なんだ?
14070,go talk to them.,話しかけてきて
14071,i'm gonna get out.,外へ行くわ
14072,then you will become a hollow.,お前は ホロウとなるのだ!
14073,cover me!,俺を援護しろ!
14074,monroe!,モンロー!
14075,you're gonna need one.,分かってるんだ
14076,i'm sure i'm going to blow this.,絶対に失敗する!」
14077,i was in congo for the last year.,ー昨年からコンゴに行ってた
14078,"oh, come on.",おお、本当にある言葉なんだ。
14079,robb's right. we need that bridge.,ロブが正しい 我々には橋が必要だ
14080,"here. you will be representing us, so do your best!",はい ウチの代表なんだから しっかり頑張ってちょうだい
14081,so great you caught it!,すごい ホント取れた。
14082,"your highness, when i was by your side as a eunuch",世子様 内官として側にいたとき
14083,i think you should do what she asks.,彼女の要望に答えるべきです
14084,"thank you, oreki.",昨日はありがとうございました
14085,do you change your socks?,靴下替えてる?
14086,and it's called floating memories.,「浮遊する記憶」です
14087,is that why it can't fight back?,それが反撃できない理由?
14088,it's right here!,ここよ
14089,"tommen and myrcella are good, decent children, both of them.",トメンとミセラは二人ともいい子だ
14090,"ah, you are moro's human child, aren't you?",うわさは聞いていたよ.
14091,i just wanted to talk to you.,话说 对方到底是谁
14092,we're still here! we're still here!,まだ 僕らいるから。 まだ 僕らいるから!
14093,right after we moved in.,引っ越してからすぐ作った
14094,both got our missions.,任務もできた
14095,where do you think i am?,何処だと思う?
14096,duke.,デュークだよ
14097,i'm not suggesting anything. she was depressed.,私は何も助言していない 彼女は落ち込んでいたし
14098,but the two of you are really interesting...,お二人がご学友のために一肌脱がれると聞き及び
14099,brother!,そこまでだ 弟よ。
14100,maybe we can get them next time.,それはまた後日にでも
14101,birrinbirrin could not go... he was too fat to cross the swamp in a canoe.,ビリンビリンは行くことができなかった... カヌーで湿地帯を横断するには 太り過ぎていた
14102,when their blood sugar is too low,血糖値が低いとき
14103,what does it say?,どんな内容?
14104,who's going to be ridjimiraril's partner?,誰がリジミラリルの仲間になるつもり?
14105,on all our childhood problems.,失効期日を設定するのです
14106,that if you find any water problem in your city,「もし 君たちの都市デリーや ボンベイやバンガロール
14107,"yeah, but...",やっほーっ!
14108,where are you gonna go for a walk?,どこに散歩に行く?
14109,spinning their thoughts into the heavens.,天国への思いを手で紡ぐ仕草をします
14110,wanna go see her school?,入ります。
14111,"that means, natsukosan's injury is highly likely to be caused by kano.",思ってませんよ。 そうなのか?
14112,they're sure it's him?,− 確かに奴か?
14113,this is just practice too.,これも練習だけどね。
14114,i need a few more minutes...,何分か時間が欲しいわ
14115,"well, i mean... of course, it's...",いや、僕は...
14116,the best killers around.,あぁ 奈緒美?
14117,what's going to happen?,一体どういう事なのでしょう
14118,anyone here?,ごめんください!
14119,"get a hold of yourself, dad!",2500本もな... 必ず見つけ出そう。
14120,that's just each one of these devices.,それぞれの機械毎に?
14121,"the anasazi, fertile crescent society, angor wat, great zimbabwe",アナサジ族、メソポタミア、アンコールワット、グレートジンバブエ など
14122,"i'll listen, no matter what.",きっと なんでも話せる。 なんでも聞いてあげられるわ。
14123,no match on the hotel normandy?,ノルマンディーホテルとは違う?
14124,okay. walter.,だいじょうぶか?
14125,but why...?,し しかし 何で私の携帯を?
14126,so then.,それでは...
14127,audacity and humility,「大胆さ」と「謙虚さ」です
14128,and the members of the winning band are lionized as heroes and adored by the entire school!,優勝バンドのメンバーは 学園のヒーローとして
14129,"nice work, boys!",いいわよ お前ら
14130,i'm all out of answers for tonight.,今夜は全部忘れたい
14131,this place lets me to leave on time and pays well. it's perfect.,ここ 定時で上がれて時給もいいし ちょうどいい
14132,even when it makes no sense whatsoever.,それが全く意味がないとしても
14133,come on! come on!,さあ 行こう
14134,"i've read the report, you know.",そう資料に書いてあるだろう。
14135,there's a reason we do it by hand.,手作業にしてるのは 意図があってのことです
14136,kiera.,キエラがいた
14137,"i'm gonna die alone, unnoticed by anyone.",誰にも気づかれず 1人で ひっそり死にてぇんだよ。
14138,i'm sorry!,哦 我的战友! 为了下一场战斗
14139,do not worry too because it's ok,いいから 気にしすぎないでね
14140,between moving traffic and creating public space.,どちらかだけを優先しなくても 良いということです
14141,i like you!,阿呆 あっちは私に似たんだろう
14142,bought phones oror sim cards in your store.,電話やsimカードを 購入していた
14143,did you ever see them?,見たことはある?
14144,"you have eyes on trask, mr. reese?",トラスクを見張ってますよね ミスターリース?
14145,"oh, my god. she's headed to the roof.",屋上へ逃げた
14146,"thank you, patriot act.",愛国者法のおかげだよ
14147,is it because this place is nice,《この場所がいいのか 相性がいいのか...》
14148,now who's our boy?,それで 私達の番号は誰?
14149,nikola tesla.,名前はニコラ・テスラ
14150,"if i take a day off, i was told that my score would be 108...",休んだらスコア108って 言われたから
14151,fraulein elsa's cabinet of curiosities.,エルザ嬢の秘宝館
14152,"sam, can i ask how it happened? i told you.",サム どんな風に 起こったのか話して
14153,i thought i dreamed that.,サイラーが戻ってきたかと思って
14154,you'll get a fair trial.,キミは公平な裁判を受ける。
14155,whose grandfather built a vehicle out of a bicycle,友人の おじいさんは 自転車と洗濯機を使って
14156,jai... believe me...,もう駄目だ 馬に殺されるかも
14157,they wanted a monster?,奴らは怪物を欲しがった?
14158,the one who used that ebemon to manipulate my friends and turn the sand zone into a mess...,あのイーバモンとやらを使って サンドゾーンを...
14159,this stuff is really important. this stuff is really vital.,「本当に重要 不可欠です」 と言っています
14160,"but you're not around to reap the rewards, unless we're talking about the afterlife, which, come on, big roll of the dice.",そして働き手も失う でも、死後救われる? そいつは、いいか?
14161,the fbi? he is giving information to the fbi.,「FBIだと」 「ヤツは、FBIに情報を提供してます」
14162,that seigi has one more child...,ホントなの!? 正義の子が また増えた...。
14163,"in this way, you do not quite fit well.",こうしてみると、あんたたち結構お似合いじゃない
14164,we are not together,啊 我才應該說對不起
14165,this is an iq test and it determines how well you do in life.,「生活の中で いかに良く行動できるか 測定する iqテストをします
14166,who wrote about those questions,これらの問題について著した
14167,"well, you see, in the classroom after school",そんなの お前 放課後の教室でだな
14168,what will you bring ms. kikuchi?,菊池さんは 何 持っていきますか?
14169,"what's she thinking, calling me out like this?",何だよ あいつ こんなとこ呼び出して
14170,i understand. industrial guys are good.,わかる。 確かに 工業男子はいいぞ。
14171,breathe through the pain...,! 痛いの飛んでけ 痛いの飛んでけ
14172,you should too.,あなた方も笑ってよ
14173,i know.,そうね 行って
14174,"and you have a big quality range, and so ebay, cleverly",サービスの質に大きな幅があります ここでeBayは
14175,have you seen nick lately? nick?,俺が沈めたかだ
14176,"and also, one thing i realized is that",そして一つ気づいたことは
14177,i'm in.,同じく
14178,needle star!,綺羅星。 綺羅星。
14179,kuroko why are there under your bed my underwear?,つーか 黒子 なんであんたのベッドの下には私の下着があるんわけ
14180,i'm not a kid!,俺は委員長じゃ
14181,we walked into the house with our first child,第一子を迎え入れました
14182,serial murders in new jersey and new york,ニュージャージー ニューヨーク両州の連続殺人
14183,i want to marry rapidly and have 3 children he said.,「俺は早く結婚して 子ども3人欲しい」って。
14184,go at three.,3で行け
14185,and that's actually true.,それは事実です
14186,"no, no, no. mrs. murphy, you and your son can get on first.",いや、いや、いや、 マーフィー婦人と息子さんが先だ
14187,somebody who comes from the united states.,アメリカからやって来た人間です
14188,you can't just come up like that...,あなたね 勝手に上がる...。
14189,lies a community called vila cruzeiro,ヴィラ・クルゼイロという貧民街があって
14190,he's stealing my identity. he stole my stuff.,うちで働いてる パトリックさ
14191,don't call me mom.,ママって呼んじゃダメ
14192,you have a selfcontained system.,自己完結システムが必要となります
14193,since 2005!,... 2005年以来!
14194,he was protecting me!,僕を守っただけだよ!
14195,running.,走っている...
14196,come here. this feels a little awkward... but i'm happy.,何か少し変だ でも幸せだ
14197,and i'll be damned if i stand around while nikita's in trouble.,だが、ニキータを放って置くなんて 俺には出来ない
14198,the idea of paying 180 dollars per day,1日180ドルは
14199,we still have our pride.,俺たちには まだ誇りが残っている。
14200,"wait, what are you guys...",☎ちょっと あんた達 何よ!
14201,"yeah, might be a good idea.",名案だ
14202,"oh yeah, it's about the same as you",そうそう ちょうどアナタと同じくらいです
14203,the whole school is pretty much rallying around it.,学校をあげて準備中なの
14204,"this is, hank mccoy",ハンク・マッコイ
14205,got it.,良し!
14206,but it looks like the barricade didn't hold.,防ぎきれなかったようですが
14207,"for kids, adults and seniors.",3つのゲームをご紹介しました
14208,did you see the special finale of love apron last night?,昨日の恋のエプロン最終回スペシャル見た?
14209,i want to tell you about mom too!,おかあさんのことも ちゃんと伝えたい!
14210,this is another look at the tree of life.,これは命の樹形図の別の見方です
14211,to want to have a heart,高貴な任に堪えること
14212,but produce unhealthy sexuality in young people.,そんな教育を つくっているのです
14213,it's almost killing time. and i'd better get sharp.,そろそろ殺しの時間だ 抜け目なくやらねば
14214,seems like a ryokan ... thank you.,旅館みたいね。 どうも。 お気遣いなく。
14215,"a dollar will make me holler, honey boo boo child.",1ドルで叫んじゃう ブーブーちゃん
14216,love serving love!,ラブ・サービイング・ラブ!
14217,"at first, you were planning to set up master as the culprit.",最初は マスターを犯人に 仕立てあげようと考えた。
14218,"taku, i had no idea...",比我想象的要像样得多啊
14219,"probably, you should have told me",私に話せば 良かったのに
14220,grandpa...,爺ちゃん!
14221,yes. and for her brother.,そうだろう それと、彼女の弟のため
14222,a hero,英雄か 悪党か?
14223,"honestly, who was it",誰なんだ ほんとに
14224,pepper spray is just so pass.,スプレーの時代が終わってね
14225,tell himher that they are in a guardamuebles.,物置に入れたと 言えよ
14226,and i'm really fascinated by the way that humans,過去 様々な材料が 独創的な方法で人体に
14227,"here [among the poorest], population is growing.",ここでは人口が増加しています
14228,and i wanted to consult with papa,パパに相談しようと思ってたのよ
14229,but that hospital was over four hours away,でも病院までは車で4時間以上の距離があり
14230,i have to leave early tomorrow.,あ 明日、早出やったな
14231,the charles bonnet ones are quite different.,シャルルボネは かなり違います
14232,"the tide, you know?",いや、僕は... これは...
14233,it's not something that comes to us from books and theories.,本や理論からもたらされるのではありません
14234,he is imitating a nishikigoi right now. [ nishikigoi is a type of koi fish.],錦鯉のものまね中。 錦鯉のものまね中。
14235,you put in the rec order.,...あなたがロボットの 交換指示を?
14236,[we are...],上等だよ クソババア!
14237,so... what about you?,あなたは、どうだった?
14238,i've collected a bunch of best practices.,ここにはたくさんのベストプラクティスが 集められています
14239,just now she kept on saying,口癖のごたるもんよ。 ふ~ん。
14240,and it will be when you're not in it.,そのために...
14241,i will see you now.,悟空のやつ 神様を見たら きっと 腰を抜かすぞ。 フフフッ。
14242,i'm sure you're right,《ああ きっと...》
14243,and that's all i'm going to say about it.,言いたいことはこれだけよ
14244,the fourth...?,4人目か?
14245,"and again the warnings were, don't go that first friday",再び警告がありました 「事件後 初めての金曜日だ
14246,adviser for the forensic center.,関東医療センターの死因究明室の 顧問に就任することになった。
14247,"don't act cool, person driving is me.",何カッコつけてンだよ 運転してんの俺じゃねえかよ
14248,are you claiming that your scars were...,傷跡があったことを主張してる...
14249,the corporations have seen to that.,見ての通り
14250,"with all respect, sir, i believe i'm ready.",失礼ながら 準備はできていると思います
14251,everything will be fine.,大丈夫。
14252,"put him in the trunk, huh?",トランクに入れろ
14253,about me and my man box card,シェイラに対する事ではなく
14254,you're leaving? yes. i'll see you again. bye.,もう帰るの? うん またね。 それじゃ。
14255,i made a promise to the boy.,俺は少年と約束した
14256,we have the power to save them all.,我々は彼らを助けられる
14257,"mice and men are the same. wives know that, but anyway.",ネズミと旦那さんが同じなんです 奥さん方は分かりますよね
14258,what are you doing down here?,何してるの?
14259,so it's very tough. if you want to look for other recommendations,良い奨励団体を探すのは とても難しそうですが
14260,she was just layin' there..,ママは倒れていてー
14261,and is he coming to the show?,ショーに来るって?
14262,"pfft! so, these are the video files of professor fairbanks' experiments. he was researching blind obedience.",オレが現場に行きたいんだ これは教授の実験ビデオです 疑わずに従うことが出来るか という研究です
14263,"so, how's the situation?",不過托他的福 事情簡單多了
14264,what cunning plan?,巧妙な計画って?
14265,but i was like you.,でも 私もあなたと同じだったから
14266,we're not going anywhere until you tell us...,教えるまでどこにも行かないぞ
14267,"hey, conan.",あっ! た 大変ですよ! コナン君!
14268,seiichi goshiko is coming seeing!,文イヒ祭ーこは 参ヵ=するわょ!
14269,you and john came perilously close to being discovered.,あなたとジョンは 発見される寸前 危険なほど近づいた
14270,do you want to?,カップルだと思われたいの?
14271,i'm sorry. that was presumptuous of me.,申し訳ありません 私が申し上げるのはせん越でした
14272,and we can see brain volumes,ご覧の通り 脳の容積が
14273,i wonder if i might ask you for a favor.,お願いしてもいいかしら
14274,one part awakenings,ある時は「レナードの朝」
14275,i guess he wouldn't accept it if it's from me.,私からじゃ 受け取らないと思うから
14276,a dead body.,何が見える?
14277,"their days are too long, their lives are too short.",彼らの時代は長いが その寿命は短い
14278,it's not that big a deal...,ウソだろ...。
14279,"then, this is okay?",いて いいの? うん。
14280,that you need to learn when you're learning mathematics,数学を学ぶ際に どういう意味なのか
14281,what?!,何だよ、ウォーレン
14282,"yeah, he didn't think it was right for his image with the whole from the people campaign.",ああ 彼はイメージに悪いと思った 庶民が協力して運動してる
14283,father kills his own son to keep him quiet?,秘密を守るために 自分の息子を殺したとでも?
14284,i can't live with that.,生きてはいけない
14285,"this one's getting a little big, though.",この巣は ちょっと大きくなり過ぎたが
14286,celebrating this seder in germany,ドイツでこの祭りを祝うことは
14287,"the ephors, priests to the old gods.",行政官たち 神々の司祭
14288,"lieutenant archie h icox reporting, sir.",アーチー・ヒーコックス中尉、出頭しました。
14289,i'm going to run all over hell oni.,よーし やるぞ》
14290,"i know it sounds like the same word, but it means something different in my head.",あなたの女の子 それは同じ言葉のように聞こえる
14291,won't be able to take that on the boat.,それは船に載せられない でかすぎる
14292,and that's why you went to the library?,それで 図書館へ行ったのか。
14293,and the mortgage bankers association,取引協会のようなものであり
14294,i figured you might need me out here.,ここに居て協力しようと思ってね
14295,in that brief moment of hesitation...,そのためらった 瞬間に
14296,"dad, whats wrong?",何があったの?
14297,she consulted with me for several cases i worked with scotland yard.,僕がロンドン警視庁で取り組んだ事件のいくつかは 彼女が相談してきたものだ
14298,"hello, mijo.",もしもし
14299,on the other side if i start to talk to people there they'd think i'm crazy.,向こう側で話しかけたら おかしいと思われそうだ
14300,watch out!,腸とか引きずり出すからよぉ!!
14301,or what? just go lay down in your bed.,だったら何だ? - すぐにベットに戻れ
14302,i get it!,くそー!
14303,what is this?!,これは一体何だ?
14304,give me the phone.,お前は全員を殺すつもりか 電話をくれ
14305,it's been a while.,久しぶりだな。
14306,people have the right to live. they have a future.,人には 生きる権利があるんだ 未来があるんだ
14307,"it might be coincidental, but until sugaya found the eyewitness",偶然だとは思うが 須賀谷が ホームレスの証言をつかむまで
14308,"i'm not your brother any more, not until i let you know it's okay.",俺はお前の兄ではない 俺がお前に 大丈夫だと言うまでは
14309,"sam, what are you doing?",何してるの?
14310,what they'll say is someone helped them,誰かが助けたとか、
14311,"ladies and gentlemen, the moment we've all been waiting for.",皆さん、 私たちが皆、待っている少し。
14312,might not be western european.,ラテンアメリカのような
14313,we talked.,ただ話しただけだ
14314,let's talk about baby names.,赤ちゃんの名前考えよう
14315,just keep moving.,行けよ
14316,come on! here! here!,ほらおいで! こっちよ!
14317,"which leaves us with haibach, who we have nothing on.",残された可能性は ハイバックだけ 証拠は何も無い
14318,"ah. sorry. i didn't mean to. no, it's interesting.",あっ。 ごめん。 つい。 ううん。 面白い。
14319,"i'd accept full responsibility for all my actions, but let's face it, you gave me hormones.",行動に伴う責任は 負うつもりですが ホルモンを授けたのは 神様ですよ
14320,he took skye.,彼がスカイを連れ去りました。
14321,the avengers initiative was shut down.,アベンジャーズ案は 廃止した
14322,i dreamed about a kazamachi dori rice omelet last night,(真山) ふっ
14323,"here you go, $5. eat the pizza yourself. you look like you could use a good meal.",5ドルやるから自分で食え お前にゃ楽勝だろ?
14324,and this doesn't only apply to my country,我が国だけに 当てはまるものではなく
14325,"goodbye, gandalf.",さようなら ガンダルフ
14326,you said you want me betray my dad?,私にパパを裏切れというの?
14327,this is a good road in right near where our factory is located.,3つ目: これが良い道です -- 工場のすぐ近くにあります
14328,or it's going to have no use to you as a person who might use such a system.,さもなければシステム自体、意味のないものになってしまいますから。
14329,"whoa, where you going? you threw me offbalance!",どこ行くんだ バランスが崩れる!
14330,that drives tunein behavior back into mass media,また マスメディアにチャンネルを合わせます
14331,or take this swordfish.,次に メカジキ
14332,you certainly don't talk to your mother.,母親じゃないな
14333,it seems you're likely to gain one.,君は子供を失った、ウィル。
14334,i end my turn on that!,私はカードを1枚伏せ ターンエンド。
14335,the seam will burst open into halves.,縫い目が ぱーんって 飛ぶんじゃないかと 思ってね。
14336,search engine security alerted us.,検索エンジンの警備が 我々に警告を促しました
14337,"hey, did you really see one?",おい ホントに見たのか
14338,there's no secret base and there's definitely no time machine?,秘密基地なんか無いし 当然、タイム... ...マシン?
14339,one part of this issue involves automobiles.,この問題の一つとして、 自動車が関与しています
14340,one of them is 73 acres long.,そのうち1棟は30ヘクタール
14341,point to you. you have this.,その前にするコトがある
14342,move it!,それを移動!
14343,"that could be shoveling out a hydrant, pulling a weed",例えば 消火栓を掘り出したり 草を抜いたり
14344,"sulfur, 80g.",硫黄 80グラム
14345,life triumphs up and down.,人生は山あり谷ありだ
14346,it's big day tomorrow.,話は明日また
14347,"look, i promise you...",そうかしら
14348,you need like a school of fish,魚の群れみたいなものに
14349,a more adult kind of love.,もっと大人の恋やねん。
14350,why not? um...,何故だか
14351,this scent...,このにおい...
14352,showing where some of these certain phenomena in biology,量子力学による説明を必要とするような いくつもの生物学的な現象が
14353,maybe i should just stop taking them.,飲むの止めようかしら -ダメだ
14354,"you didn't talk about the case, right?",事件のことで バタバタしてるんじゃ...
14355,i'm a different girl now.,私 これから違うわよ
14356,doctors say what the problem is?,医者は なんて言ってる?
14357,some of them are artificial.,これらのうち いくつかは人工的に作られています
14358,he's still suffering the effects of acute dehydration.,激しい脱水症の 影響が残ってます
14359,it's my fault.,せい
14360,while it is going to be crushed by heavy pressure,重圧に押し潰されそうに なりながらも
14361,i have a terrific idea.,凄いこと思いついちゃったよ
14362,you can look if you want.,調べたきゃ調べろ
14363,had to be trained for hiv.,HIVに関する教育が必須となったのです
14364,he definitely likes you.,間違いなく 君が好きだな
14365,i hear some fascinating stuff goes on out there.,すばらしい技術を開発してる
14366,"okay, but",よし でも
14367,is this lingering concern,理由の1つではないでしょうか
14368,did you know that he likes her?,あいつは あの女が好きだって知ってるのか?
14369,men always like to think.,人はいつも思うのが好き
14370,and you reach for you dreams straight and pure.,情熱があって 自分の夢に真っすぐで純粋で
14371,lean and hungry.,リーンと空腹。
14372,their goal is to launch a rocket carrying a black hole bomb.,目的は ブラックホール爆弾を
14373,it was cabinets of processors and storage and everything.,プロセッサやらストレージなどあらゆるものが詰め込まれていました
14374,what is going on?,何が起きてる
14375,it's like watching a fucking pitching machine.,ピッチングマシーンを 見てるみたいだ
14376,they're killing the hostages. let's go.,やつら 下に房に向かってる 行くよ
14377,i'll need a laser to slice sections we can put under the electron microscope.,顕微鏡で見るには レーザーが必要ね
14378,but i suppose zombie is deciding what to think,でも どう考えたって ゾンビに決まってるってばよ
14379,go. turn around.,向こうを向け
14380,"madara is a bitter, defeated loser...",今のマダラは 負け犬だ。
14381,what happened at lauriston gardens?,「ロリストン・ガーデンズで何があったのでしょうか? 」
14382,aren't even chinese to begin with.,でも、フォーチュンクッキーは中国のものではないんです
14383,"she said, come to my apartment.",「自宅に来て下さい」と言われました
14384,tango 1 down. liftoff.,目標1、達成だ
14385,i'm so happy for you.,とてもうれしいよ
14386,why?,だからパパです
14387,(whinny),(いななき)
14388,"well, it is about",それはね・・・えっとね・・・
14389,that our future selves so often regret?,後悔することになるような 決断をするのか
14390,fly safe,気をつけてね!
14391,and the need for gridlevel storage,送電網における電気貯蔵が
14392,that's a bit unfair.,少し不公平だな
14393,my time is... 60 seconds in a minute.,時間は─ 60秒で1分だ
14394,since you've come all the way here.,せっかくだからね
14395,which is in fact the risk perceived from the road,すなわち 道路から知覚されるリスクで
14396,cherry blossom tree,我叫折木
14397,it's good to see you again.,また よろしく頼みますよ
14398,"well, happens to the best of us.",まあ良くある事さ
14399,"well, i've heard that story too...",いや... その話は 僕も 聞いたことがあるんですが
14400,it's just an old bone.,ただの古い骨なんだ
14401,i'm sorry. he doesn't get out of his cage much.,すまない こいつ檻に入れといてくれ
14402,"i understand you're an excaptain of police, mr. foster.",あんたは 元警部だそうだな
14403,i've got enough details for my report.,報告できる 十分な詳細はある
14404,ten thousand yen on a boat race.,1万円 負けたでしょ。
14405,and it is not lunatic fringe.,アクア説は馬鹿げた少数派ではありません
14406,oh god!,チクショー!
14407,now my days off are different.,でも今は違って...
14408,"ao: fantastic. well done, derek.",アダム:素晴らしいよ デレク
14409,i'm a corporate lawyer most of the time,普段は
14410,still i see,♪ Still I see ♪
14411,"all right, look, she might remember more if she were questioned properly.",いいか 彼女がきちんと事情聴取を受けたら もっと思い出すかもしれないじゃないか
14412,you look like one of the campbell's soup kids who grew up and became an alcoholic.,キャンベルスープの CMのガキみたいだ 大人になって アルコール中毒になった奴
14413,"anger, hate, aggression.",怒り 憎しみ 攻撃...
14414,"it never was a guy that was in control, was it?",その人はまさか取締官 じゃありませんよね?
14415,it's emotional. it's personal.,感情的であり、個人的である
14416,all right! leave it to me!,あ 任せろ
14417,thank goodness!,然後 請您救救美海!
14418,"but when you heal this wing, will you meet the prince in the flower garden?",だけど この翼を治ったら 花畑で王子さまに会うの?
14419,hey. what's your name?,よう、お前さん、名前は?
14420,and i really want to spark their imaginations,そして私が小さな頃に『スターウォーズ』をみて
14421,"oh, this is mari! what took you so long, mouch?",マリを紹介しろよ マウチ
14422,what about deb?,デボは?
14423,there's an important audition for shingo.,信吾にとって すごく大事な オーディションがあるの
14424,remember what i told you. if i see anything suspicious i will kill these two.,疑わしかったら、この2人を殺す。
14425,there are no people in his life.,誰1人関わっていない
14426,"fine, five minutes. i have homework.",いいわ 5分ね 宿題あるし
14427,and plain old nonsense.,古くからある世迷言における主張を解明しています
14428,her smile was glowing.,笑顔でキラキラしてた。
14429,itokun is all worked up,レンズ 見て レンズ。
14430,not even once? isn't it obvious?,1回も? 当たり前だろ
14431,i was just starting not to hate you.,君を嫌いじゃなくなってきた
14432,they're dead so my family,俺の家族を守るため そいつらは死んだ
14433,i didn't say that.,そんな事 言ってないわ
14434,we don't know what skynet wants from him.,スカイネットが彼に 求めてるものが分からない
14435,what do you want?,なぜ死にたいんだ?
14436,"oh, my god. everyone move to the lobby upstairs!",大変 皆2階のロビーへ!
14437,show of good faith.,誠意を期待するよ
14438,"you take a miner's lamp, which is a pit lamp.",炭坑作業用ランプを持って行きます これがピット ランプです
14439,spices that go into the pork shoulder,肩肉用のスパイスを
14440,i will be right there.,大丈夫だ すぐに追いつく
14441,i wouldn't want you to.,しなくていいわよ.
14442,what did you talk about with tobesan?,戸部さんとは どんな話をしました?
14443,"well, what are you waiting for?",誰も止めないよ
14444,i may not see you for a while.,しばらくは会えなくなったかもしれん
14445,he can do whatever he wants with it.,で もし 彼がその金を使って
14446,you're with me now.,共存共栄
14447,"what are you saying, kintoki?",不吉なこと言ってんじゃねえよ!
14448,you just said that woman in hong kong saw a report,香港の女が書類を見たって...
14449,because a landfill is anaerobic.,埋立地は嫌気性なので
14450,patrick?,パトリック? 聞いてる?
14451,how do you know?,恋って どうすれば うまくいくのかな?
14452,"you're not alone, you know.",知らない方がいいわ - ムム
14453,"however, we weren't able to retrieve any fingerprints from the murder weapon",しかし 凶器のナイフから 指紋は検出されませんでした。
14454,is this being recorded?,記録されているか? - いや
14455,if your foe is before you,指は大丈夫かい
14456,it's a remnant file header.,ファイルヘッダーの残存よ
14457,i told you what you wanted to believe.,私はあなたに 信じて欲しい事を話した
14458,without understanding a thing!,まるで把握してなかった ってことですよね!
14459,how will you face your god if you... kill an innocent man? is your faith in him so weak?,無実の人を殺したら 神様にどう顔向けするの あなたの信念はどうしたの?
14460,"hey, minorisan!",あのね ペトラルカ...
14461,"twentysix, twentyseven, twentyeight...",<テキサス州の刑務所> 26... 27...
14462,"first, as i said i'll handle the legacy costs out of my end so you won't have to worry about my guys anymore.",一つ目は、前にも言ったが、 レガシーコストは俺の分でまかなうから 俺の仲間の事は心配しないでくれ
14463,of course!,不過 不是那種感覺
14464,it's all commanded remotely from rooms like these.,このような離れた部屋から すべて操作される
14465,walk west. meet me in two hours.,そこで7時に会おう
14466,"you will be ordered out of your home, made to stand on a canonical platform",月見の祝いをするように言われます
14467,and sometimes we make real plans.,時にはちゃんとした 設計図を作ることもあります
14468,no other sisters or brothers?,他に兄弟は?
14469,"everybody calm down, and this won't get ugly.",静かにすれば、なにもしない
14470,"well, our editorinchief is an idiot, don't you think so?",いや ウチの編集長 バカですね ねえ そう思いません?
14471,"look, i know you're thinking about your brother, okay?",見、私はあなたがを考えている知っている さて、あなたの兄弟については?
14472,jyouou gp qualifying kanto region now declaring the final day of trials,嬢王GP 関東地区予選 最終ジャッジメントの発表です
14473,what are you doing here?,何故ここに
14474,i can protect you here.,俺が守るから
14475,why do we spend our lives living through them?,あの人たちの話ばかり
14476,"but we're hunting, you see. it's what's done.",そう言っても 見ての通り狩猟中だ
14477,that can be enabled,医療分野における
14478,"the posadas, el grito, the day of the dead",サン ミゲル デ アジェンデ、喜び、命への情熱
14479,well...,あっ いや えっと その...
14480,my being here is just a dream.,みちるはただの夢だから
14481,"attack it, attack it!",挑め! 攻めろ!
14482,"what, you want me to say it to you?",俺にそれを言わせたいのか?
14483,what do you think?,あんたは どう思うんだ?
14484,someone... an ambulance!,うん? うん 新しい挑戦だよ。
14485,ume is waiting for toshiyuki at the school gate.,そんな中 梅は校門で トシユキを待っています
14486,it seemed like he was about to be attacked by someone...,ちゅう事は...。 何者かに襲われそうになって
14487,"hurry up, get going. ah!",早く行くぞ! あッ!
14488,tell me about my mommy. tell me. tell me. tell me.,ウォーレンに伝えてくれ
14489,why don't you go get some sleep?,少し寝てきたら?
14490,"00, elderly men on a walk reported seeing a man being murdered",昨日の夜 11時 千石町の ガード下で 殺されてるところを
14491,i was told you threatened viktor.,あなたは ヴィクターを脅したと 聞きましたが
14492,seems the style of queen.,王妃がかけたかも
14493,i saw you lonely,お前寂しがってるのを見え見えだぞ
14494,"so in origami, to obey these laws",それで、折り紙でこの法則に従い
14495,"as long as this guy is in the cell opposite me, it's impossible for me to escape.",フン あの主君にして この家臣ありか。
14496,bupbupbupbup.,待て 待て
14497,"i'm going to read it out loud, so look at the paper in front of you for reference.",手元の紙を参考にしてくれたまえ
14498,what are you doing here?,こんなところで何してる?
14499,"helen, do you understand? helen.",分かった?
14500,it's been a long time...,5倍だ!
14501,i got into the villa secretly under the mission,特命を受け 密かにこの里に潜入した
14502,looking and finding shapes in the clouds,雲を見ていろいろな形を発見したことを
14503,reese and carter nabbed the head of hr.,リースとカーターは hrのボスを捕まえた
14504,and the asterisks represent the time at which,アスタリスクが示すのは 蚊除け処理が
